ID,Bro Type,Headwear,Clothes,Eyes,Eyewear,Mouth Items,Background,DI Score,Surprisal Score,Additive Ratity,DI Score Tiers
4464,Bro,Ironman Helmet,Gray Shirt,Wtf Eyes,Flattened,None,Purple Navy,178.0343414,22.74860709,146.23,Epic
6421,Robo Bro,Ironman Helmet,None,Wtf Eyes,None,None,Dark Lavender,176.7407187,17.7573717,203,Epic
5563,Mummy Bro,Ironman Helmet,Light Brown Fash Hoodie,No Sleep,Dbz Glass,None,Purple Navy,176.3599201,25.00718138,130.81,Epic
6327,Robo Bro,Ironman Helmet,Coat,Happy Eyes,Thug Life Glass,None,Russian Green,175.9961421,24.05679211,120.25,Epic
1001,Different Bro,Mickey Ears,Warm Coat,Small Eyes,Thug Life Glass,None,Purple Navy,173.546968,23.31181674,137.08,Epic
627,Different Bro,Mickey Ears,Red Shirt,Normal Eyes,Nerd,None,Camouflage Green,173.3965672,22.56852497,155.35,Epic
355,Bro,Mickey Ears,Purple Bomber,Sus Eyes,None,None,Rose Taupe,173.0995962,21.04222939,189.74,Epic
5309,Mummy Bro,Ironman Helmet,Coat,No Sleep,None,None,Dark Lavender,171.4165988,20.84997828,182.99,Epic
31,Ape Bro,Axe On Head,None,,None,Cigarette,Russian Green,171.0350824,21.80532542,90.64,Epic
5855,Mummy Bro,Ironman Helmet,Normal Soldier Outfit,Happy Eyes,None,None,Purple Navy,170.6046098,21.15257565,185.57,Epic
5942,Robo Bro,Evil Crown,Swat Armour,T800,None,None,Russian Green,166.6583581,22.91060286,166.31,Epic
6079,Robo Bro,Devil Horns,Swat Armour,Wtf Eyes,None,None,Middle Green,166.1475213,22.5733995,184.97,Epic
1737,Bro,Spartan Helmet,Winter Soldier,Normal Eyes,None,Old Wise Man Mustache,Middle Green,162.3317423,24.45299761,139.39,Epic
6646,Zombie Bro,Spartan Helmet,None,Small Eyes,None,None,Middle Green,160.4847537,19.37345672,189.05,Epic
5798,Mummy Bro,Evil Crown,Swat Armour,No Sleep,None,None,Teal Blue,158.3152803,22.44701361,170.93,Epic
6402,Robo Bro,Spartan Helmet,Jedi Robe,T800,Dbz Glass,None,Rose Taupe,157.9689724,25.26972311,125.2,Epic
6340,Robo Bro,Spartan Helmet,Jedi Robe,T800,None,None,Russian Green,153.9319163,21.27794361,168.11,Epic
6253,Robo Bro,Spartan Helmet,Yellow Raincoat,Normal Eyes,None,None,Dark Lavender,152.5816426,21.71720026,197.57,Epic
6137,Robo Bro,Spartan Helmet,Red Shirt,No Sleep,None,None,Middle Green,150.8682412,21.10151705,180.59,Epic
3170,Bro,Spartan Helmet,None,Sleepy Eyes,None,None,Middle Green,149.629859,17.43052572,209.39,Epic
6062,Robo Bro,Viking Helmet,Warm Coat,One Eye,None,None,Middle Green,145.3925942,23.2829792,174.62,Epic
5316,Mummy Bro,Spartan Helmet,Coat,Small Eyes,None,None,Camouflage Green,143.6432508,20.05752736,186.71,Epic
6182,Robo Bro,Axe On Head,Yellow Raincoat,Demon Eye,None,None,Camouflage Green,143.5536473,25.70588495,170.6,Epic
50,Ape Bro,Angel Ring,None,,None,Smile,Russian Green,139.4514187,22.46067725,89.56,Epic
6368,Robo Bro,Axe On Head,Swat Armour,Normal Eyes,Dbz Glass,Low Beard,Camouflage Green,135.7459284,30.29463215,72.15,Epic
220,Different Bro,Viking Helmet,None,T800,White Glass,Orc Teeth,Rose Taupe,135.4077943,27.25237794,75.48,Epic
3330,Bro,Evil Crown,Black Shirt,Small Eyes,None,Vampire,Camouflage Green,132.239575,24.69388156,118.87,Epic
3211,Bro,Evil Crown,Red Shirt,Normal Eyes,None,Old Wise Man Mustache,Camouflage Green,130.7577926,24.01350707,137.89,Epic
5893,Robo Bro,Golden Bucket,Golden Jacket,Sus Eyes,Golden Monocle,None,Middle Green,126.2034871,26.51323987,123.13,Epic
6153,Robo Bro,Shark Hat,None,No Sleep,None,Vampire,Camouflage Green,124.0944498,23.34303532,124.99,Epic
6426,Robo Bro,Shark Hat,None,No Sleep,White Glass,None,Teal Blue,123.0690146,21.61507092,132.7,Epic
4227,Different Bro,Evil Crown,Normal Soldier Outfit,Sleepy Eyes,None,Orc Teeth,Rose Taupe,122.0808703,25.54772115,111.73,Epic
905,Different Bro,Devil Horns,Thug Jacket,Small Eyes,None,None,Purple Navy,121.19098,20.03741702,187.1,Epic
6289,Robo Bro,Devil Horns,Fur Coat,No Sleep,None,None,Rose Taupe,120.7183217,21.15993373,179.69,Epic
5918,Robo Bro,Evil Crown,Black Shirt,Wtf Eyes,None,Beard,Rose Taupe,120.5741254,24.28339758,114.67,Epic
732,Bro,Devil Horns,Winter Soldier,Wtf Eyes,None,None,Middle Green,120.4850223,18.87038584,198.11,Epic
3820,Different Bro,Devil Horns,None,Normal Eyes,None,None,Middle Green,119.8863897,15.44716559,227.54,Epic
260,Bro,Shark Hat,Tank Top,Normal Eyes,None,Cigarette,Dark Lavender,119.6252049,21.5860332,140.23,Epic
2383,Bro,Devil Horns,None,Normal Eyes,None,None,Purple Navy,119.5739134,15.19672854,231.26,Epic
775,Bro,Devil Horns,None,Normal Eyes,None,None,Rose Taupe,119.5739134,15.19672854,231.59,Epic
6225,Robo Bro,Devil Horns,Coat,No Sleep,None,None,Middle Green,119.4696884,20.29743726,181.73,Epic
300,Bro,Devil Horns,Black Shirt,Happy Eyes,None,None,Purple Navy,119.3062554,19.23340711,192.92,Epic
2373,Different Bro,Evil Crown,Gray Shirt,Wtf Eyes,None,None,Middle Green,118.9844149,17.66271667,196.55,Epic
6165,Robo Bro,Devil Horns,Woolen Shirt,Sleepy Eyes,None,None,Middle Green,118.2800252,21.49751509,179.36,Epic
6376,Robo Bro,Devil Horns,None,Sleepy Eyes,None,None,Russian Green,118.0406717,17.78102297,187.76,Epic
747,Bro,Evil Crown,Grey Zipper Hoodie,Normal Eyes,None,None,Middle Green,117.4702484,16.90667781,214.79,Epic
4662,Bro,Evil Crown,Ken's Jacket,Happy Eyes,None,None,Camouflage Green,117.4181201,19.31492602,191.48,Epic
3283,Bro,Evil Crown,Normal Soldier Outfit,Normal Eyes,None,None,Purple Navy,117.3120691,17.67423173,212.27,Epic
2129,Bro,Evil Crown,Grey Zipper Hoodie,Wtf Eyes,None,,Purple Navy,117.280469,17.54371404,123.01,Epic
6338,Robo Bro,Golden Bucket,Black Shirt,Wtf Eyes,Thug Life Glass,Gum,Dark Lavender,117.1044645,26.40249434,62.31,Epic
3432,Bro,Viking Helmet,None,T800,Thug Life Glass,None,Purple Navy,116.7339723,20.06398674,157.39,Epic
4722,Bro,Evil Crown,Tank Top,Normal Eyes,None,None,Camouflage Green,116.6170079,16.50430673,215.42,Epic
5840,Mummy Bro,Viking Helmet,Blue Puffer Jacket,Normal Eyes,None,Cigarette,Camouflage Green,116.4334021,23.10294666,134.14,Epic
47,Ape Bro,Headphone,Gray Shirt,,Laser Glass,Beard,Teal Blue,115.6287327,27.65451119,19.14,Epic
6284,Robo Bro,Evil Crown,Coat,Normal Eyes,None,None,Purple Navy,115.6239918,17.79966242,203.3,Epic
6428,Robo Bro,Evil Crown,Normal Jacket,Sus Eyes,None,None,Purple Navy,115.3740719,18.69108309,184.64,Epic
33,Ape Bro,Angel Ring,None,,None,None,Rose Taupe,115.2709002,16.4891337,174.89,Epic
6288,Robo Bro,Viking Helmet,Jedi Robe,T800,None,None,Russian Green,115.1898473,20.7474289,168.23,Epic
2922,Different Bro,Shark Hat,Warm Coat,Normal Eyes,None,Gum,Rose Taupe,114.029854,22.20747717,136.99,Epic
37,Ape Bro,Backwards Cap,None,,Golden Glasses,None,Russian Green,113.9626367,20.02121062,109.33,Epic
6321,Robo Bro,Golden Bucket,Thug Jacket,No Sleep,Gojo Satoru,None,Camouflage Green,113.9496266,24.927731,124.48,Epic
199,Different Bro,Viking Helmet,Grey Zipper Hoodie,Wtf Eyes,None,None,Purple Navy,113.516086,18.59030817,193.73,Epic
5914,Robo Bro,Golden Bucket,Yellow Raincoat,Sus Eyes,None,None,Camouflage Green,113.4883116,22.60259714,177.95,Epic
23,Ape Bro,None,None,,None,Smile,Teal Blue,113.4398203,18.3185702,104.89,Epic
735,Different Bro,Golden Bucket,Black Shirt,Normal Eyes,Thug Life Glass,Low Beard,Dark Lavender,112.5154353,26.11359874,82.08,Epic
2127,Bro,Golden Bucket,Thug Jacket,Small Eyes,None,None,Dark Lavender,112.104932,19.07648658,189.44,Epic
101,Different Bro,Viking Helmet,None,Happy Eyes,None,Oni Mask,Rose Taupe,111.9803522,22.73113219,132.34,Epic
844,Different Bro,Viking Helmet,Woolen Shirt,Normal Eyes,None,None,Rose Taupe,111.7707102,18.92264961,207.14,Epic
86,Different Bro,Golden Bucket,Red Shirt,Normal Eyes,Nerd,None,Camouflage Green,111.680448,21.20595489,155.68,Epic
6382,Robo Bro,Viking Helmet,None,Wtf Eyes,None,None,Teal Blue,111.4771778,16.64189448,194,Epic
5497,Mummy Bro,Evil Crown,Ken's Jacket,Normal Eyes,None,None,Rose Taupe,111.3345354,17.97523398,207.08,Epic
6433,Robo Bro,Golden Bucket,Normal Jacket,No Sleep,Thug Life Glass,None,Rose Taupe,111.2947808,21.6898292,134.08,Epic
5799,Mummy Bro,Viking Helmet,None,Happy Eyes,None,Gas Mask,Camouflage Green,111.2389365,23.47014816,130.45,Epic
4659,Bro,Axe On Head,Warm Coat,Wtf Eyes,Flattened,Smile,Rose Taupe,111.2246743,27.37619624,70.71,Epic
5899,Robo Bro,Viking Helmet,Fur Coat,Normal Eyes,None,None,Middle Green,111.1455377,19.04918202,202.31,Epic
25,Ape Bro,None,None,,Golden Glasses,Cigarette,Russian Green,111.1444103,22.00907648,51.24,Epic
771,Bro,Axe On Head,Purple Bomber,No Sleep,Golden Glasses,Old Wise Man Mustache,Middle Green,111.0697725,30.3491395,60.75,Epic
6342,Robo Bro,Shark Hat,Yellow Running Jacket,Sleepy Eyes,None,None,Middle Green,110.6685601,22.66149083,178.37,Epic
820,Bro,Shark Hat,Jedi Robe,Wtf Eyes,None,None,Camouflage Green,110.5979594,18.93573957,196.43,Epic
5530,Mummy Bro,Evil Crown,Coat,Happy Eyes,None,None,Dark Lavender,110.5822302,19.13550213,184.64,Epic
2643,Bro,Golden Bucket,Winter Soldier,Normal Eyes,None,None,Purple Navy,110.2510018,17.11372227,213.29,Epic
32,Ape Bro,Brown Hat,None,,None,Throwup,Russian Green,110.1171685,21.36475283,90.76,Epic
868,Different Bro,Shark Hat,Red Shirt,Happy Eyes,None,None,Purple Navy,109.6876281,19.76300883,186.92,Epic
6296,Robo Bro,Golden Bucket,None,Normal Eyes,None,None,Teal Blue,109.5981903,15.12623902,209.87,Epic
6239,Robo Bro,Shark Hat,Jedi Robe,No Sleep,None,None,Teal Blue,109.1531104,20.39931687,168.41,Epic
489,Bro,Golden Bucket,None,Normal Eyes,None,,Dark Lavender,109.1501135,14.0771012,153.82,Epic
5662,Mummy Bro,Golden Bucket,Warm Coat,T800,None,None,Camouflage Green,109.0721193,19.2691734,185.27,Epic
5575,Mummy Bro,Golden Bucket,Normal Jacket,T800,None,None,Dark Lavender,108.7988027,18.41270072,186.14,Epic
171,Bro,Shark Hat,White Striped Shirt,Sleepy Eyes,None,None,Camouflage Green,108.1527679,19.41005225,190.43,Epic
6205,Robo Bro,Shark Hat,Purple Bomber,Happy Eyes,Nerd,None,Rose Taupe,107.473105,23.71881678,129.19,Epic
5493,Mummy Bro,Shark Hat,Gray Shirt,T800,None,None,Russian Green,107.2646284,18.87616221,176.57,Epic
20,Ape Bro,Kermit Hat,Pepe Shirt,,None,Pipe,Russian Green,106.4154323,25.44986771,70.27,Epic
41,Ape Bro,Head Band,None,,None,Throwup,Rose Taupe,105.8681298,20.67016584,103.39,Epic
24,Ape Bro,None,Warm Coat,,None,Throwup,Russian Green,105.0761005,20.92403101,87.7,Epic
5430,Mummy Bro,Viking Helmet,Coat,Normal Eyes,None,None,Middle Green,104.9353069,17.86475745,208.43,Epic
5336,Mummy Bro,Golden Bucket,Gray Shirt,Happy Eyes,None,None,Purple Navy,104.821951,18.25949085,189.65,Epic
5782,Mummy Bro,Viking Helmet,Winter Soldier,Normal Eyes,None,None,Middle Green,104.5057917,17.90128332,208.34,Epic
5468,Mummy Bro,Golden Bucket,Tank Top,Happy Eyes,None,None,Rose Taupe,104.2274689,18.39768814,189.41,Epic
5331,Mummy Bro,Shark Hat,Coat,No Sleep,None,None,Teal Blue,103.4978012,19.52805018,174.05,Epic
19,Ape Bro,New Idea,None,,Laser Glass,None,Teal Blue,103.4379963,20.79244612,107.68,Epic
5611,Mummy Bro,Shark Hat,Normal Jacket,Wtf Eyes,None,None,Middle Green,103.4233023,17.71050054,196.34,Epic
26,Ape Bro,Headphone,White Striped Shirt,,None,None,Rose Taupe,102.9113847,18.03570082,157.7,Epic
5586,Mummy Bro,Shark Hat,Gray Shirt,Happy Eyes,None,None,Middle Green,102.5852331,18.52252526,190.31,Epic
5455,Mummy Bro,Shark Hat,White Striped Shirt,Small Eyes,None,None,Camouflage Green,102.2859844,19.44609265,186.59,Epic
29,Ape Bro,Purple Bandana,None,,None,Pipe,Rose Taupe,102.0602053,19.99511085,103.75,Epic
53,Ape Bro,Old Bucket Hat,Black Shirt,,None,Cigarette,Russian Green,101.3063953,22.27734559,75.1,Epic
40,Ape Bro,None,None,,Nerd,Pipe,Russian Green,100.9717289,20.87496354,54.3,Epic
34,Ape Bro,None,Tank Top,,None,Pipe,Teal Blue,100.966831,19.44682469,89.77,Epic
6633,Zombie Bro,Axe On Head,None,Small Eyes,Thug Life Glass,Beard,Middle Green,100.9184819,26.70489622,64.68,Epic
17,Ape Bro,None,None,,None,Cigarette,Russian Green,100.6498427,17.24818087,106.87,Epic
48,Ape Bro,Blue Cap,Warm Coat,,Golden Glasses,None,Russian Green,100.4497308,22.24405541,91.99,Epic
1007,Bro,Axe On Head,White Striped Shirt,Small Eyes,White Glass,None,Middle Green,100.2973632,22.80599886,138.22,Epic
35,Ape Bro,New Idea,None,,None,Gum,Teal Blue,99.94074876,20.65848404,90.97,Epic
16,Ape Bro,Flat Top Hairstyle,None,,Laser Glass,None,Teal Blue,98.74279693,19.51942762,109.72,Epic
6017,Robo Bro,Safety Helmet,Suit,One Eye,None,Vampire,Russian Green,98.10823503,31.78091445,85.54,Epic
21,Ape Bro,None,None,,Vision Pro,None,Teal Blue,97.20804562,17.76581628,122.59,Epic
6654,Zombie Bro,Axe On Head,Tank Top,Normal Eyes,None,Low Beard,Purple Navy,96.82468277,24.13292766,119.53,Epic
6555,Zombie Bro,Axe On Head,White Striped Shirt,Happy Eyes,None,None,Rose Taupe,96.31946257,20.67042395,170.72,Epic
6573,Zombie Bro,Axe On Head,None,No Sleep,Eye Mask,None,Middle Green,96.20743745,22.40412502,133.51,Epic
42,Ape Bro,Fez,None,,None,None,Teal Blue,96.14495381,17.68177878,162.47,Epic
1725,Different Bro,Flat Top Hairstyle,Warm Coat,Demon Eye,None,Smile,Camouflage Green,95.54579357,25.87733967,108.34,Epic
52,Ape Bro,Old School Helmet,White Striped Shirt,,None,Gum,Rose Taupe,95.4951416,22.79001366,85.18,Epic
6391,Robo Bro,Angel Ring,None,Demon Eye,None,None,Camouflage Green,95.35716146,19.69988621,192.08,Epic
36,Ape Bro,Flat Cap,Normal Jacket,,None,Gum,Rose Taupe,95.02325852,21.43104063,89.44,Epic
5994,Robo Bro,Axe On Head,None,Happy Eyes,None,Ninja Mask,Rose Taupe,94.13264649,21.82955096,127.51,Epic
2905,Bro,Axe On Head,Normal Jacket,Normal Eyes,Vision Pro,None,Camouflage Green,93.43318517,21.08697232,160.72,Rare
38,Ape Bro,None,Roman Kind Robe,,Thug Life Glass,None,Russian Green,93.12387631,19.61981192,108.16,Rare
28,Ape Bro,Bandana,Pepe Shirt,,None,None,Rose Taupe,91.65808038,18.51785252,157.37,Rare
5606,Mummy Bro,Angel Ring,Gray Shirt,Demon Eye,None,None,Camouflage Green,90.66108622,21.17537023,181.13,Rare
49,Ape Bro,None,Thug Jacket,,None,None,Rose Taupe,90.59801727,15.27502287,172.04,Rare
22,Ape Bro,None,Dutch White Robe,,None,None,Russian Green,90.55730756,15.75741564,160.01,Rare
18,Ape Bro,Head Band,Grey Zipper Hoodie,,None,None,Russian Green,90.4119071,16.88459969,149,Rare
44,Ape Bro,Red Beanie,None,,None,None,Russian Green,90.30715229,15.42304451,164.72,Rare
54,Ape Bro,Head Band,Gray Shirt,,None,None,Teal Blue,90.15314869,16.34403131,150.29,Rare
46,Ape Bro,None,Red Shirt,,None,None,Rose Taupe,90.15099388,15.45256106,171.71,Rare
27,Ape Bro,Blue Cap,None,,None,None,Teal Blue,90.11886776,15.02970208,164.69,Rare
55,Ape Bro,None,White Striped Shirt,,Thug Life Glass,None,Teal Blue,90.09539716,18.1603803,109.6,Rare
43,Ape Bro,Arabian Robe,None,,None,None,Teal Blue,89.31500471,15.0461902,164.66,Rare
51,Ape Bro,None,Black Shirt,,None,None,Russian Green,89.07180776,14.72593741,162.14,Rare
30,Ape Bro,None,Normal Jacket,,None,None,Russian Green,88.82228045,13.94401167,165.14,Rare
500,Different Bro,None,Swat Armour,Normal Eyes,Thug Life Glass,Smile,Dark Lavender,87.26038887,24.52339216,94.68,Rare
5953,Robo Bro,Axe On Head,Jedi Robe,Wtf Eyes,None,None,Camouflage Green,86.75364692,18.89767153,186.65,Rare
2950,Bro,Axe On Head,Grey Zipper Hoodie,Normal Eyes,None,None,Rose Taupe,86.44574321,16.40917815,214.58,Rare
6322,Robo Bro,Axe On Head,Light Brown Fash Hoodie,Normal Eyes,Eye Patch,None,Russian Green,85.71908495,20.9352856,139.69,Rare
5728,Mummy Bro,Axe On Head,Tank Top,No Sleep,Dbz Glass,None,Teal Blue,84.68356097,22.18640594,122.26,Rare
5217,Mummy Bro,Axe On Head,Gray Shirt,T800,None,Mask,Dark Lavender,83.91288212,23.68420703,111.76,Rare
1038,Bro,Red Beanie,Gray Shirt,Demon Eye,None,Pipe,Dark Lavender,83.89757628,24.9553939,112.18,Rare
228,Different Bro,Army Helmet,Swat Armour,Normal Eyes,Eye Patch,None,Rose Taupe,82.9163079,22.85533999,154.09,Rare
5156,Mummy Bro,Axe On Head,Roman Kind Robe,Small Eyes,None,None,Russian Green,82.67230232,20.22745237,173.87,Rare
5856,Mummy Bro,Axe On Head,Dutch White Robe,No Sleep,None,None,Middle Green,82.27347053,19.66940603,185.06,Rare
5660,Mummy Bro,Axe On Head,Dutch White Robe,No Sleep,None,None,Camouflage Green,82.27347053,19.66940603,184.31,Rare
5486,Mummy Bro,Axe On Head,Golden Jacket,Small Eyes,Eye Patch,None,Rose Taupe,81.4205703,23.6951516,132.55,Rare
937,Bro,Slick Back Hair,Normal Jacket,Demon Eye,Golden Glasses,None,Dark Lavender,80.65369723,23.15097644,133.3,Rare
5384,Mummy Bro,Axe On Head,Normal Soldier Outfit,Happy Eyes,None,None,Teal Blue,80.04365104,19.15257565,174.56,Rare
6550,Zombie Bro,Angel Ring,None,No Sleep,Golden Monocle,Cigarette,Middle Green,79.76841408,27.97770459,59.34,Rare
5154,Mummy Bro,Axe On Head,Normal Jacket,Normal Eyes,None,None,Purple Navy,79.32069245,15.98625845,211.58,Rare
5636,Mummy Bro,Axe On Head,Winter Soldier,Normal Eyes,None,None,Rose Taupe,79.20837388,17.01676054,208.25,Rare
5498,Mummy Bro,Headphone,Jedi Robe,Demon Eye,None,None,Purple Navy,78.6897008,21.34833294,178.55,Rare
5423,Mummy Bro,Headphone,Winter Soldier,Demon Eye,None,None,Russian Green,77.56647397,20.83552023,168.71,Rare
1486,Bro,None,White Striped Shirt,Demon Eye,None,Gas Mask,Purple Navy,76.73191796,24.17285155,125.23,Rare
4598,Different Bro,Backwards Cap,Swat Armour,Sus Eyes,Eye Patch,None,Camouflage Green,76.65338676,23.72137154,132.67,Rare
2347,Bro,None,Tank Top,Demon Eye,None,Gum,Purple Navy,75.53621312,21.60769753,129.58,Rare
6083,Robo Bro,New Idea,Warm Coat,Demon Eye,None,None,Purple Navy,74.54584681,21.56838142,174.83,Rare
6221,Robo Bro,New Idea,Normal Jacket,Demon Eye,None,None,Middle Green,74.27253016,20.71190873,178.79,Rare
2550,Different Bro,Flat Top Hairstyle,Swat Armour,Normal Eyes,Golden Glasses,None,Dark Lavender,73.32736624,22.50000874,150.7,Rare
524,Different Bro,None,Swat Armour,T800,None,Gas Mask,Middle Green,73.02720969,24.00497597,125.47,Rare
1890,Bro,Brown Hat,Swat Armour,Normal Eyes,Thug Life Glass,Beard,Camouflage Green,71.20211172,26.84520655,87.12,Rare
6186,Robo Bro,None,Golden Jacket,Demon Eye,None,None,Russian Green,70.8292116,19.73370289,176.69,Rare
6149,Robo Bro,None,Thug Jacket,Demon Eye,None,None,Middle Green,70.68427856,18.48577538,189.98,Rare
6151,Robo Bro,None,Light Brown Fash Hoodie,Demon Eye,None,None,Rose Taupe,70.13200353,18.314164,189.92,Rare
5971,Robo Bro,None,Purple Bomber,Demon Eye,None,None,Teal Blue,69.86142162,18.86580643,177.02,Rare
6375,Robo Bro,Backwards Cap,Warm Coat,One Eye,None,Beard,Middle Green,67.47605821,26.40421569,102.67,Rare
6524,Zombie Bro,None,None,One Eye,None,Big Mustache,Middle Green,65.70632259,23.22189418,122.59,Rare
5599,Mummy Bro,None,Dutch White Robe,Demon Eye,None,None,Russian Green,65.68197133,18.64624005,182.03,Rare
1251,Bro,Backwards Cap,Black Shirt,One Eye,None,None,Dark Lavender,65.09706588,20.04004941,183.65,Rare
5367,Mummy Bro,None,Normal Soldier Outfit,Demon Eye,None,None,Dark Lavender,64.75006691,18.34138547,191.06,Rare
5236,Mummy Bro,None,Gray Shirt,Demon Eye,None,None,Russian Green,64.64948776,17.03326317,186.23,Rare
6559,Zombie Bro,New Idea,Suit,Normal Eyes,Eye Mask,Cigarette,Rose Taupe,64.39071364,29.40982551,62.16,Rare
5420,Mummy Bro,None,None,Demon Eye,None,None,Russian Green,64.38396548,15.23585105,201.68,Rare
5739,Mummy Bro,None,White Puffer Jacket,Demon Eye,None,None,Purple Navy,64.33447149,18.04720236,193.97,Rare
5824,Mummy Bro,Slick Back Hair,Coat,Demon Eye,None,None,Camouflage Green,64.31257738,19.70213281,182.15,Rare
5546,Mummy Bro,None,Coat,Demon Eye,None,None,Teal Blue,64.26414085,17.82681229,182.93,Rare
6356,Robo Bro,Angel Ring,Yellow Raincoat,T800,Golden Monocle,None,Middle Green,63.82211705,27.22421025,122.11,Rare
6594,Zombie Bro,Angel Ring,None,Sus Eyes,Nerd,Cigarette,Purple Navy,63.23950647,26.03142589,62.67,Rare
6548,Zombie Bro,None,Suit,Sus Eyes,White Glass,Mask,Rose Taupe,62.9733727,28.44087683,54.36,Rare
6621,Zombie Bro,Angel Ring,Dutch White Robe,Sus Eyes,Laser Glass,None,Middle Green,62.2857395,26.06518731,112.9,Rare
