ID,Image,Bro Type,Headwear,Clothes,Eyes,Eyewear,Mouth Items,Background
67,https://ipfs.io/ipfs/bafkreia5owohsm4ec76hoop43o6lfaanwwzx3buebhymb542wxalsvhn6i,Bro,Russian Hat,Winter Soldier,Sus Eyes,None,Orc Teeth,Camouflage Green
68,https://ipfs.io/ipfs/bafkreidoug3i4p62emkzvhaqbybxbkdd4bzxeyqb5mcmgyzm2mkopzyvxe,Bro,Red Beanie,Roman Kind Robe,Normal Eyes,None,None,Camouflage Green
70,https://ipfs.io/ipfs/bafkreid74ub42lnldsbujdl2u24dvs6o67n4yqv3doalfcc5nvckqdvoo4,Bro,Cowboy Hat,Tank Top,Wtf Eyes,Thug Life Glass,None,Camouflage Green
71,https://ipfs.io/ipfs/bafkreigcarl72nkuh6svf5fjeyddrn4u4x7wmorhuwtcdsoxs6mx7swuua,Different Bro,Bandana,Purple Bomber,Normal Eyes,Flattened,None,Rose Taupe
73,https://ipfs.io/ipfs/bafkreidd4yxa2trtpj5itptp4vzt44xkvrt3pzgxptibbpa6uomqmfmy5q,Different Bro,Old School Helmet,None,Normal Eyes,Thug Life Glass,None,Dark Lavender
74,https://ipfs.io/ipfs/bafkreidgbvd6cle2ghx37bju4l5hhumr2hursqmdyiu4lbyhnd54p3jfd4,Bro,None,None,Wtf Eyes,Gojo Satoru,Oni Mask,Purple Navy
76,https://ipfs.io/ipfs/bafkreiffqdsxkeub2h4ja6lz2tltus55ef5rim2mxkgjv3kwp5jjuybsly,Bro,Derby Hat,Winter Soldier,Normal Eyes,Flattened,None,Purple Navy
77,https://ipfs.io/ipfs/bafkreibau3elpmuwvn5myj3jc4xysxt36wmztpm4qljhvhsdtxor62uhwa,Bro,None,Purple Bomber,Sleepy Eyes,Flattened,None,Camouflage Green
79,https://ipfs.io/ipfs/bafkreibugox5cxlnwazcy2h7hrop5a26h2bona2itmubj4avs4mhy47zqi,Bro,Derby Hat,Black Shirt,Normal Eyes,3D Glass,None,Purple Navy
80,https://ipfs.io/ipfs/bafkreihqobvorxviqekugpemwyxe7vfcnumxzc3cfyaer3zexpbwsxd26a,Different Bro,Flat Top Hairstyle,Black Shirt,Happy Eyes,Thug Life Glass,None,Middle Green
82,https://ipfs.io/ipfs/bafkreibh3gzsw5vfvgz44mq3l4iqngcngcrccjqy4dphtc25xhfwsxb3se,Different Bro,Mexican Hat,None,Normal Eyes,None,Beard,Purple Navy
83,https://ipfs.io/ipfs/bafkreidnbn6mltpi62hpm5zduqfdpjlj2gzs3d65cx7zw6c2aajzhqcfmy,Different Bro,Folded Brim,Jedi Robe,T800,White Glass,None,Middle Green
84,https://ipfs.io/ipfs/bafkreibwrsxaoctyknv3euvehiixqmdddsmh7ztn3gahyxucgxr4cbhmaq,Different Bro,Red Beanie,Grey Zipper Hoodie,Normal Eyes,None,None,Rose Taupe
86,https://ipfs.io/ipfs/bafkreih7tofn3nezk52oritg3ltuy2hxdbbdb7pwke2jyagwdgav2bl2qe,Different Bro,Golden Bucket,Red Shirt,Normal Eyes,Nerd,None,Camouflage Green
87,https://ipfs.io/ipfs/bafkreicgyi2k7ftp2tywepdozyrnqp3vma27wrzmj5yfwollaekj7osqr4,Different Bro,Derby Hat,Gray Shirt,Wtf Eyes,None,Oni Mask,Dark Lavender
89,https://ipfs.io/ipfs/bafkreigy2htsec3t2j7vuauty3ykd2gmgg5ehxfbpd7ywngotebdt3uy2q,Bro,Brown Hat,None,Normal Eyes,Thug Life Glass,Oni Mask,Middle Green
90,https://ipfs.io/ipfs/bafkreif4brqegd5msbd3xkugv4ernvfey2o6salk36fnwnfkvopbllfqfq,Bro,Old School Helmet,None,Sus Eyes,Eye Mask,Mustache,Camouflage Green
92,https://ipfs.io/ipfs/bafkreibh3huiiswo3cakqratlgt3gkbrxggx2d4wwantbasp7m43nqmgzq,Different Bro,New Idea,White Striped Shirt,Normal Eyes,Flattened,None,Middle Green
93,https://ipfs.io/ipfs/bafkreiejel2ct2nuy7hwzyqeeyeowfhqjvkr4zsc4kyluwqi27ympghoci,Bro,Folded Brim,Roman Kind Robe,Sleepy Eyes,None,None,Dark Lavender
96,https://ipfs.io/ipfs/bafkreibo6letgo4dk66sftt72gzgynxqodhtq7l5c2itftyg47illfnbze,Different Bro,Bandana,Tank Top,Normal Eyes,None,None,Camouflage Green
97,https://ipfs.io/ipfs/bafkreibylxqqyhdqxvw7zr7t3vxqhs3rtbgons5cpdsctua2umrm5ikyzu,Bro,Purple Bandana,None,Wtf Eyes,Eye Patch,Gas Mask,Camouflage Green
99,https://ipfs.io/ipfs/bafkreibtyttpx5a3ubo5i3s3bqvo6reozfwbooojiogs5nnq4nlqsxwssy,Bro,Arabian Robe,Purple Bomber,Wtf Eyes,None,None,Middle Green
100,https://ipfs.io/ipfs/bafkreidyfiungehdyhucffwr43k57syjg75yajeumfli6ncgg22rcqreum,Bro,Old School Helmet,None,Wtf Eyes,None,None,Dark Lavender
101,https://ipfs.io/ipfs/bafkreicxnsizk7elqorsm3nworrv6mi2nia5irdl3b6ovyz2nsdgj4sppy,Different Bro,Viking Helmet,None,Happy Eyes,None,Oni Mask,Rose Taupe
103,https://ipfs.io/ipfs/bafkreifsrchmjurw7rimz6g3jeissv3nb244abwub7w4wxddt5qqm3vkuy,Bro,Russian Hat,Tank Top,Sus Eyes,Eye Mask,None,Middle Green
104,https://ipfs.io/ipfs/bafkreid3x4kd4lfy5js6rigbft4xj5rq3rbwsoclrcjcgi6tkqed25hh7y,Bro,Russian Hat,Blue Puffer Jacket,Normal Eyes,Flattened,None,Rose Taupe
106,https://ipfs.io/ipfs/bafkreigmi63zjttto6dewfrr6c6rgfdkyzql7ekdmv5qfnlh5pxgl4gaku,Bro,None,None,Normal Eyes,None,None,Middle Green
107,https://ipfs.io/ipfs/bafkreihp4feg26ybuxbbv4h4sn5lgl3eduop2hzeotzh2uf4etlse3v7ke,Different Bro,Folded Brim,None,Normal Eyes,Eye Patch,None,Purple Navy
108,https://ipfs.io/ipfs/bafkreihwgqnssjp6u7ip2e64rgva7pgq6vyi3s3vtfwy5nfooz372mpeue,Different Bro,Bandana,None,Wtf Eyes,Eye Mask,None,Rose Taupe
110,https://ipfs.io/ipfs/bafkreiapbmchxbkn227uc7bnwyhmizhcuetql2obctt7aw57g6t4kfglxe,Different Bro,Flat Cap,None,Normal Eyes,Eye Patch,None,Purple Navy
111,https://ipfs.io/ipfs/bafkreigogxtniyqaf3dgsj3bshhdnqudbvki3usfkel3fhkuksrsm4bu7a,Different Bro,Folded Brim,None,Sleepy Eyes,None,None,Camouflage Green
113,https://ipfs.io/ipfs/bafkreihxptqyubnctmvriaxnt65gc37u7dlubztmwlurpdhpbspbj5xdsy,Bro,None,Ken's Jacket,Normal Eyes,None,None,Rose Taupe
114,https://ipfs.io/ipfs/bafkreicsrnf2szvkpwte2rjnn26k74f6dhyqbakzarajyf7wtxigtmdjce,Different Bro,None,Tank Top,Sus Eyes,None,None,Rose Taupe
115,https://ipfs.io/ipfs/bafkreigr5rc7o5iakksd3lxpaztif7h6ytfqp4nrxeqoni4p7eh7rm5fhi,Bro,Backwards Cap,Normal Jacket,Sus Eyes,None,Gas Mask,Middle Green
117,https://ipfs.io/ipfs/bafkreicnxxkdfpflm42te3wtnripqcw37a57c7zyctcvw3roab4rtwv6aa,Bro,Mexican Hat,Normal Jacket,Normal Eyes,Thug Life Glass,None,Purple Navy
118,https://ipfs.io/ipfs/bafkreicxid64shyvntjk4ybtvktjpzb2osj7nppsqtdrsxsxvzhaedc46u,Different Bro,Russian Hat,None,Wtf Eyes,None,Mustache,Middle Green
120,https://ipfs.io/ipfs/bafkreihxfi3hbsekk4oyglwf6sfbu54bswa5d3kuw6lqf6xrpeh7siqapi,Different Bro,None,None,Happy Eyes,Laser Glass,None,Dark Lavender
121,https://ipfs.io/ipfs/bafkreicjqf4kwd2ucpg7hrhd3jh5jlunl35sdsmfwgce3tfqts26ibqb74,Bro,Afro,None,Happy Eyes,None,None,Middle Green
123,https://ipfs.io/ipfs/bafkreihdw2aly4y2friqpwybizonc6xmzlmkb4zfbqjn5ckg3bieafsezq,Different Bro,Split Hair,Coat,Normal Eyes,Dbz Glass,None,Dark Lavender
124,https://ipfs.io/ipfs/bafkreiheyggiiojln2vf2sy73cnecvcdfrpjqh3bvphyycbalv4nbdwmza,Bro,Top Hat,None,Normal Eyes,None,Ninja Mask,Camouflage Green
125,https://ipfs.io/ipfs/bafkreiadkiq3cisttukzabb7mx7grh776ldbutcn3ghdotllsa7vfsf2iy,Different Bro,Slick Back Hair,White Puffer Jacket,Normal Eyes,None,None,Dark Lavender
127,https://ipfs.io/ipfs/bafkreia7zehsaalzzt6lsc3ukp7xt4do4qc2mvwkrdsfviqzsosljfp4sm,Different Bro,Old School Helmet,Jedi Robe,Normal Eyes,None,None,Rose Taupe
128,https://ipfs.io/ipfs/bafkreicjh27jzmowa43f7xhasswqd4xwx2ylxthcsgymjr5z2ml4eeteym,Different Bro,None,Tank Top,Happy Eyes,3D Glass,None,Dark Lavender
130,https://ipfs.io/ipfs/bafkreie6wwf5ffg25rkbkndy6a2pv4trh4qy36grlteer6ogko2apsbx3a,Different Bro,Mexican Hat,Normal Jacket,Normal Eyes,Eye Patch,None,Rose Taupe
131,https://ipfs.io/ipfs/bafkreietucw7zpzpomwale3wumc3sikmbpqmssmnhierniehavqcti5pqq,Different Bro,None,Thug Jacket,Sleepy Eyes,Dbz Glass,Mask,Rose Taupe
132,https://ipfs.io/ipfs/bafkreihgyksls6677gxyihrt2xg4x3zpmwoxdaxvsqccepliwrhxkhfrli,Bro,None,White Puffer Jacket,Normal Eyes,None,None,Purple Navy
134,https://ipfs.io/ipfs/bafkreibbholk5w7jjkbictyxoa5bxdxearkr43g2uxawa53gp7ftkxw4ui,Different Bro,Purple Bandana,Grey Zipper Hoodie,Normal Eyes,None,None,Rose Taupe
135,https://ipfs.io/ipfs/bafkreice7344mpusetzab754bisnmazvlbd57cxegycthzoyvvyzwja6iu,Bro,None,Light Brown Fash Hoodie,Normal Eyes,Thug Life Glass,None,Dark Lavender
137,https://ipfs.io/ipfs/bafkreiat7wtrg42n6wtcqzn2xpg2wbrnbjaajpami5ndmh4lbiu56dl5eq,Different Bro,Old School Helmet,Ken's Jacket,Normal Eyes,None,None,Camouflage Green
138,https://ipfs.io/ipfs/bafkreigmfzbix3ifcryp53vb7qnhivc5bpziv2ktqwsqvvo75uysdzauuu,Different Bro,Purple Bandana,White Striped Shirt,No Sleep,Thug Life Glass,None,Purple Navy
139,https://ipfs.io/ipfs/bafkreiaosi4475uwkjp2lgbl7xlavln3rf4zrwqfiexzlotgrk7ysvbfue,Bro,Split Hair,Grey Zipper Hoodie,Wtf Eyes,Eye Patch,None,Dark Lavender
141,https://ipfs.io/ipfs/bafkreiakjzjd6izuekx72nof43untxdv2ebr4jnnzrcy5wb4eu5spsya4y,Different Bro,Folded Brim,Ken's Jacket,Normal Eyes,Eye Mask,None,Middle Green
143,https://ipfs.io/ipfs/bafkreiegqhc7zuyvg5bziy5k2mse6tuawaqtq22cjdlurjezdl3vbyimce,Bro,Blond Hair,None,Wtf Eyes,None,None,Middle Green
144,https://ipfs.io/ipfs/bafkreie5wqwzn2bbpqoqh2qp3ohvnltfibzcpptzglnlasvsdytdx33vwi,Different Bro,Blonde Hair,Warm Coat,Normal Eyes,None,None,Purple Navy
146,https://ipfs.io/ipfs/bafkreib6hhol2zvhsf5wijh5x3cortct3gfes2syvmhkja6oa5rpvgisse,Bro,Mexican Hat,Tank Top,Normal Eyes,None,Pipe,Middle Green
147,https://ipfs.io/ipfs/bafkreih2qbaw3otshulcx4jgq633472udiasj6566z4qgofmm3ehpkuh7i,Different Bro,Blue Cap,Jedi Robe,Small Eyes,Thug Life Glass,None,Camouflage Green
148,https://ipfs.io/ipfs/bafkreihjlybh4gvo76afnt4rum4otsesoyxr2dw2pswruogfb3d4y62bvy,Different Bro,None,Black Shirt,Wtf Eyes,Nerd,None,Purple Navy
150,https://ipfs.io/ipfs/bafkreicpgbb6y4yksuwrcvf5lozrxbhbafvxfd37pssjslw6qw5mjajhxu,Bro,None,Blue Puffer Jacket,Normal Eyes,Flattened,None,Rose Taupe
151,https://ipfs.io/ipfs/bafkreihetvvon5oxkp7q6lwyyy5sk6ab34tmr5bwwa5kmzw73cfujndol4,Different Bro,Headphone,Thug Jacket,Sus Eyes,None,None,Camouflage Green
153,https://ipfs.io/ipfs/bafkreigstnlmqchtfykhilnprs2qjeshfxc4cts6x44xjlnfgl7rxak3cu,Different Bro,Blond Hair,Red Shirt,Normal Eyes,None,None,Dark Lavender
154,https://ipfs.io/ipfs/bafkreigoqh3aw2lzfypfbfbirtxes2mewsxwc2fyrnt42jomov3qtjebny,Different Bro,Head Band,Gray Shirt,Normal Eyes,None,,Dark Lavender
155,https://ipfs.io/ipfs/bafkreibc7ofssumg5uxiclhokh2jj2jtx7epz5qiqmli3wct7i3pjal4ai,Bro,Russian Hat,Blue Puffer Jacket,Normal Eyes,None,None,Purple Navy
157,https://ipfs.io/ipfs/bafkreihyaz2s32xfgm4wa4lucrf4gseseolibkibiolsovsfnfil4ihdma,Bro,Top Hat,Tank Top,Sus Eyes,3D Glass,Low Beard,Middle Green
158,https://ipfs.io/ipfs/bafkreic2g56otrvdj2c2b3texm5pyisu3ssjz3v2j7xthct2jqzd3tpnhy,Bro,Backwards Cap,Grey Zipper Hoodie,Normal Eyes,None,None,Purple Navy
159,https://ipfs.io/ipfs/bafkreigsgz3tpxlqcpdqpowobgtccecldqu4ndrmxmtcfivtbgt7mtpzke,Bro,Mexican Hat,Winter Soldier,Sleepy Eyes,Laser Glass,None,Rose Taupe
160,https://ipfs.io/ipfs/bafkreie2xhd6eldfewivzzkeimxgjjkhv2ltninmncwphhf6thjaq7zswm,Bro,Purple Bandana,Ken's Jacket,Sus Eyes,None,None,Middle Green
161,https://ipfs.io/ipfs/bafkreieumrrqy3oqrjkpmbvbym75s7xeeqg4kgij2tc2zye37vm3sfqhlq,Different Bro,Afro,Coat,Normal Eyes,Nerd,None,Camouflage Green
162,https://ipfs.io/ipfs/bafkreiar55shek576e5a2oxfkhhfkid65u2odjmsutuwf5zqnyzijrxuce,Bro,Old School Helmet,Dutch White Robe,Sleepy Eyes,None,None,Dark Lavender
164,https://ipfs.io/ipfs/bafkreics477cduur7x3stnk2bizy3y4waywm7wmgyq4rlixcmw3bko7evm,Bro,Mexican Hat,Thug Jacket,Normal Eyes,Flattened,None,Purple Navy
165,https://ipfs.io/ipfs/bafkreiaurqsy3blpujlkwjl664vabnpxzftfwfcdoeiwwufftyleqy3hjm,Different Bro,None,Light Brown Fash Hoodie,Normal Eyes,None,None,Middle Green
167,https://ipfs.io/ipfs/bafkreiafhbppfcdlsfsiiqz2stc73yn52qtorych6rm3ud43ym4xacr2aa,Different Bro,Old Bucket Hat,Normal Soldier Outfit,Sleepy Eyes,None,Ninja Mask,Purple Navy
168,https://ipfs.io/ipfs/bafkreieqw4x2fuh6s4rlnfhicwjtmellmszkd6m6ztqpzqyqomng4vr2gu,Bro,Head Band,Roman Kind Robe,Wtf Eyes,Thug Life Glass,None,Rose Taupe
169,https://ipfs.io/ipfs/bafkreid3k2rxu236xniaqq4e26z4pqir5sswn6q5ei7ebkj4te22vhkmim,Different Bro,Flat Top Hairstyle,Tank Top,Wtf Eyes,None,Oni Mask,Purple Navy
171,https://ipfs.io/ipfs/bafkreibyh4jnlved2qothfgfiwwkxed7prisvzo6vsjnicw3ojqpplf22q,Bro,Shark Hat,White Striped Shirt,Sleepy Eyes,None,None,Camouflage Green
