Category,Trait,Count,S_trait,Tag1,IS1,Tag2,IS2,Tag3,IS3,IS Total,Adjusted Score
Headwear,Brown Hat,76,5.455,Urban,0.25,,,,,0.250,6.528
Headwear,Bucket Hat,87,5.260,Urban,0.1,,,,,0.100,2.518
Headwear,Cat Ear,16,7.703,Whimsical,0.3,,,,,0.300,18.709
Headwear,Chinese Hat,47,6.148,Heritage,0.05,,,,,0.050,3.323
Headwear,Cowboy Hat,39,6.417,Heritage,0.17,,,,,0.170,11.794
Headwear,Crown,10,8.381,Prestige,1.3,,,,,1.300,178.495
Headwear,Derby Hat,83,5.328,Heritage,0.06,,,,,0.060,3.456
Headwear,Devil Horns,11,8.243,Villainous,0.9,,,,,0.900,105.688
Headwear,Evil Crown,17,7.615,Villainous,0.95,,,,,0.950,103.060
Headwear,Fez,14,7.895,Heritage,0.1,,,,,0.100,8.536
Headwear,Flat Cap,85,5.293,Urban,0.1,,,,,0.100,2.534
Headwear,Flat Top Hairstyle,116,4.845,Urban,0.1,,,,,0.100,2.319
Headwear,Folded Brim,91,5.195,Urban,0.1,,,,,0.100,2.487
Headwear,Golden Bucket,18,7.533,Prestige,0.75,Whimsical,0.25,,,1.000,96.914
Headwear,Head Band,123,4.760,Urban,0.1,,,,,0.100,2.279
Headwear,Headphone,72,5.533,Brand,0.15,Scene,0.05,,,0.200,15.382
Headwear,Ironman Helmet,6,9.118,Brand,1,,,,,1.000,162.596
Headwear,Kermit Hat,37,6.493,Meme,0.08,,,,,0.080,5.142
Headwear,Mexican Hat,71,5.553,Heritage,0.06,,,,,0.060,3.602
Headwear,Mickey Ears,7,8.895,Brand,1,,,,,1.000,158.630
Headwear,Naruto Headband,20,7.381,Brand,0.11,,,,,0.110,14.478
Headwear,New Idea,48,6.118,Whimsical,0.1,Fantasy,0.1,,,0.200,7.014
Headwear,None,565,2.560,Minimalist,0.1,,,,,0.100,0.507
Headwear,Old Bucket Hat,90,5.211,Urban,0.1,,,,,0.100,2.494
Headwear,Old School Helmet,72,5.533,Urban,0.1,,,,,0.100,2.648
Headwear,Purple Bandana,101,5.044,Urban,0.1,,,,,0.100,2.415
Headwear,Red Beanie,67,5.637,Urban,0.1,,,,,0.100,2.698
Headwear,Russian Hat,85,5.293,Heritage,0.05,,,,,0.050,2.861
Headwear,Safety Helmet,14,7.895,Urban,0.3,,,,,0.300,11.338
Headwear,Shark Hat,15,7.796,Whimsical,1.5,,,,,1.500,94.678
Headwear,Sheriff Hat,75,5.474,Enforcer,0.01,,,,,0.010,0.624
Headwear,Slick Back Hair,154,4.436,Urban,0.08,,,,,0.080,1.699
Headwear,Spartan Helmet,9,8.533,Enforcer,1.4,,,,,1.400,136.075
Headwear,Split Hair,110,4.921,Urban,0.08,,,,,0.080,1.885
Headwear,Top Hat,83,5.328,Scene,0.25,Whimsical,0.05,,,0.300,10.429
Headwear,Viking Helmet,13,8.002,Enforcer,1,Heritage,0.25,,,1.250,97.333
Headwear,Wizard Hat,3,10.118,Fantasy,1.7,,,,,1.700,202.814
Eyes,Demon Eye,24,7.118,Villainous,0.8,Fantasy,0.2,,,1.000,57.276
Eyes,Happy Eyes,322,3.372,Whimsical,0.12,,,,,0.120,2.184
Eyes,No Sleep,278,3.584,Whimsical,0.18,,,,,0.180,3.482
Eyes,Normal Eyes,1016,1.714,Minimalist,1,,,,,1.000,2.264
Eyes,One Eye,27,6.948,Whimsical,0.8,Fantasy,0.5,,,1.300,37.804
Eyes,Sleepy Eyes,264,3.658,Minimalist,0.4,,,,,0.400,1.933
Eyes,Small Eyes,321,3.376,Minimalist,0.5,,,,,0.500,2.230
Eyes,Sus Eyes,275,3.599,Whimsical,0.12,,,,,0.120,2.331
Eyes,T800,252,3.725,Sci-fi,0.25,,,,,0.250,6.863
Eyes,Wtf Eyes,492,2.760,Whimsical,0.25,,,,,0.250,3.725
Eyewear,3D Glass,73,5.513,Whimsical,0.25,,,,,0.250,7.439
Eyewear,Dbz Glass,121,4.784,Brand,0.1,Sci-fi,,,,0.100,5.687
Eyewear,Eye Mask,102,5.030,Urban,0.01,,,,,0.010,0.161
Eyewear,Eye Patch,174,4.260,Heritage,0.05,Whimsical,0.05,,,0.100,1.864
Eyewear,Flattened,135,4.626,Urban,0.1,,,,,0.100,1.476
Eyewear,Gojo Satoru,60,5.796,Brand,0.05,,,,,0.050,3.445
Eyewear,Golden Glasses,71,5.553,Scene,0.35,Prestige,0.15,,,0.500,12.145
Eyewear,Golden Monocle,48,6.118,Prestige,0.25,,,,,0.250,16.705
Eyewear,Laser Glass,65,5.680,Sci-fi,0.25,,,,,0.250,10.465
Eyewear,Nerd,187,4.156,Urban,0.1,,,,,0.100,1.326
Eyewear,None,1925,0.792,Minimalist,1,,,,,1.000,1.046
Eyewear,Thug Life Glass,225,3.889,Meme,0.1,,,,,0.100,2.566
Eyewear,Vision Pro,45,6.211,Brand,0.13,,,,,0.130,9.599
Eyewear,White Glass,94,5.148,Drip,0.4,,,,,0.400,16.140
Mouth Items,Beard,50,6.059,Scene,0.35,,,,,0.350,5.208
Mouth Items,Big Mustache,33,6.658,Scene,0.35,,,,,0.350,5.723
Mouth Items,Cigarette,84,5.310,Scene,1,,,,,1.000,13.041
Mouth Items,Gas Mask,27,6.948,Enforcer,0.3,,,,,0.300,7.914
Mouth Items,Gum,93,5.163,Whimsical,0.5,,,,,0.500,6.968
Mouth Items,Low Beard,42,6.310,Scene,0.15,,,,,0.150,2.324
Mouth Items,Mask,56,5.895,Urban,0.1,,,,,0.100,0.941
Mouth Items,Mustache,58,5.845,Urban,0.75,,,,,0.750,6.994
Mouth Items,Ninja Mask,57,5.870,Enforcer,0.5,,,,,0.500,11.144
Mouth Items,None,2510,0.409,Minimalist,0.25,,,,,0.250,0.068
Mouth Items,Old Wise Man Mustache,31,6.748,Whimsical,0.8,Whimsical,,,,0.800,14.570
Mouth Items,Oni Mask,43,6.276,Heritage,0.07,Villainous,0.07,,,0.140,2.179
Mouth Items,Orc Teeth,49,6.088,Fantasy,0.2,Villainous,0.2,,,0.400,6.438
Mouth Items,Pipe,70,5.573,Scene,1,,,,,1.000,13.687
Mouth Items,Smile,40,6.381,Whimsical,1.5,,,,,1.500,25.831
Mouth Items,Throwup,36,6.533,Whimsical,1,,,,,1.000,17.631
Mouth Items,Vampire,37,6.493,Fantasy,0.5,Villainous,0.5,,,1.000,17.165
Clothes,Black Shirt,139,4.584,Urban,0.1,,,,,0.100,1.463
Clothes,Blue Puffer Jacket,95,5.133,Urban,0.1,,,,,0.100,1.638
Clothes,Coat,120,4.796,Urban,0.1,,,,,0.100,1.530
Clothes,Dutch White Robe,68,5.615,Urban,0.1,Heritage,0.1,,,0.200,2.948
Clothes,Fur Coat,66,5.658,Scene,0.1,,,,,0.100,2.779
Clothes,Golden Jacket,40,6.381,Scene,0.1,,,,,0.100,3.134
Clothes,Gray Shirt,208,4.002,Urban,0.15,,,,,0.150,1.916
Clothes,Grey Zipper Hoodie,143,4.543,Urban,0.15,,,,,0.150,2.175
Clothes,Jedi Robe,82,5.345,Brand,0.035,,,,,0.035,2.224
Clothes,Ken's Jacket,85,5.293,Brand,0.035,,,,,0.035,2.203
Clothes,Light Brown Fash Hoodie,107,4.961,Scene,0.1,,,,,0.100,2.437
Clothes,None,723,2.205,Minimalist,0.01,,,,,0.010,0.029
Clothes,Normal Jacket,239,3.802,Urban,0.1,,,,,0.100,1.213
Clothes,Normal Soldier Outfit,84,5.310,Enforcer,0.05,,,,,0.050,2.016
Clothes,Pepe Shirt,45,6.211,Meme,0.08,,,,,0.080,3.279
Clothes,Purple Bomber,73,5.513,Scene,0.08,,,,,0.080,2.166
Clothes,Red Shirt,84,5.310,Urban,0.15,,,,,0.150,2.542
Clothes,Roman Kind Robe,40,6.381,Heritage,0.1,,,,,0.100,4.599
Clothes,Suit,23,7.179,Scene,0.7,,,,,0.700,24.682
Clothes,Swat Armour,14,7.895,Enforcer,0.8,,,,,0.800,47.966
Clothes,Tank Top,189,4.140,Urban,0.1,,,,,0.100,1.321
Clothes,Thug Jacket,95,5.133,Scene,0.1,Urban,0.1,,,0.200,2.989
Clothes,Warm Coat,132,4.658,Urban,0.1,,,,,0.100,1.487
Clothes,White Puffer Jacket,103,5.016,Urban,0.1,,,,,0.100,1.601
Clothes,White Striped Shirt,110,4.921,Urban,0.1,,,,,0.100,1.570
Clothes,Winter Soldier,117,4.832,Enforcer,0.03,,,,,0.030,1.101
Clothes,Woolen Shirt,55,5.921,Urban,0.1,,,,,0.100,1.890
Clothes,Yellow Raincoat,15,7.796,Urban,0.22,,,,,0.220,5.473
Clothes,Yellow Running Jacket,18,7.533,Urban,0.22,,,,,0.220,5.288
Clothes,Yellow Shirt,14,7.895,Urban,0.22,,,,,0.220,5.543
