Unique Item List,Supply,Rarity Tier,IP Concern,Title,Description,ThumbFilename
Golden Bucket,18,Epic,,Pail of Prosperous Plunder,Attribute: Increases gold drops from defeated enemies. May accidentally attract squirrels.,
Yellow Running Jacket,18,Epic,,Sprinter's Speedy Shell,Attribute: +20 to 'Running Away.' High visibility means everyone watches you flee. Can't hide. Can't fight. Can run though.,
Naruto Headband,20,Epic,Yes,Forehead Protector of Questionable Power,Attribute: +10 to 'Running Speed' (with arms flailing behind). Allows user to speak in 'Dattebayo' dialect.,
Suit,23,Epic,,Ponzi Scheme Protagonist Attire,Attribute: +25 to 'LinkedIn Engagement.' Grants ability to convince people your NFT project has 'utility.' Comes pre-stained with cocaine and regret.,
Demon Eye,24,Epic,,Gaze of Infernal Insight,"Attribute: +15 to “Intimidation,” +5 to “Thermal Vision (Uncontrollable).” Said to let the wearer see into souls — or just through cheap lies and thinner walls.",
Axe On Head,24,Epic,,The Permanent Headache Helm,"Attribute: +20 to Intimidation, but -1 to Intelligence. Requires frequent bandages.",
Gas Mask,27,Rare,,Apocalypse's Air Filter,Attribute: Immune to 'Poison Gas' and 'Smog' debuffs. Impedes communication slightly.,
One Eye,27,Rare,,Singular Sight of Tragic Coolness,"Attribute: +10 to “Mysterious Aura,” –5 to “Peripheral Awareness.” Wielded by heroes who know that depth perception is a small price for drama.",
Old Wise Man Mustache,31,Rare,,Groomer of Questionable Wisdom,"Attribute: +20 to 'Unsolicited Life Advice.' Every sentence starts with ""Back in my day."" Probably shouldn't be near schools.",
Angel Ring,32,Rare,,Halo of Holier-Than-Thou,Attribute: +15 to 'Divine' magic. Glows faintly in the presence of sinners and cheap ale. God sees your browser history.,https://github.com/hemibroscommunity-del/Hemi-Bros-catalogue/blob/main/Trait%20Graphics/Headwear/angelring.png
Big Mustache,33,Rare,,Porn Stache of Power,Attribute: +15 to 'Charm' against maidens and old ladies. Requires daily maintenance and questionable decisions. Popular in the 70s and at dive bars.,
Throwup,36,Rare,,Bodily Expression of Market Conditions,AOE damage to all nearby holders. Debuff intensifies during rug pulls and gas fee spikes. Cleanse requires touching grass.,
Vampire,37,Rare,,Liquidity Sucker,"Attribute: Drains 2% from every transaction. Allergic to sunlight, garlic, and sustainable tokenomics.",
Kermit Hat,37,Rare,Yes,Amphibian of Existential Dread,Attribute: Grants ability to sip tea judgmentally while society collapses. Dark Kermit whispers bad financial advice.,
Army Helmet,37,Rare,,Bucket of Bravery,Attribute: +15 to 'Keyboard Warrior.' Perfect for those who served... in Modern Warfare 2. Actual deployment: Mom's basement.,
Cowboy Hat,39,Rare,,Rancher's Righteous Rim,ttribute: +10 to 'Rope Trick' skill. Ideal for wrangling goblins or runaway horses.,
Ape Bro,40,Rare,,"Diamond Hands, Smooth Brain",Attribute: +50 to 'HODL Strength.' -30 to 'Exit Strategy.' Communicates through chest beating and chart emojis. Lost house in 2022.,
Smile,40,Rare,,Grin of Delusional Optimism,Attribute: +5 to 'Copium Inhalation.' Still smiling while portfolio is -90%. Either enlightened or lobotomized. Probably lobotomized.,
Roman Kind Robe,40,Rare,,Emperor's Expensive Bedsheet,Attribute: +10 to 'Oratory' and 'Leadership' when addressing crowds. Requires careful draping.,
Golden Jacket,40,Rare,,Blazer of Bling Brilliance,Attribute: +20 to 'Charisma' but attracts unwanted attention from envious bandits.,
Low Beard,42,Rare,,Chin-Strap of Casual Cool,"Attribute: A more approachable version of the beard, offering minor 'Friendly Demeanor' buffs.",
Oni Mask,43,Rare,,Demonic Dominance Disguise,"Attribute: +20 to 'Intimidation' against humanoids, but may scare away friendly villagers.",
Vision Pro,45,Rare,Yes,"$3,500 Mistake Manifestor",Attribute: Perfect for watching your portfolio crash in 4K spatial computing. May occasionally display pop-up ads for potions.,
Pepe Shirt,45,Rare,Yes,Meme Economy Casualties Uniform,Attribute: Periodically causes nearby NPCs to emit a 'kek' sound. Wearing this either makes you Based™ or unemployable. No middle ground exists.,
Chinese Hat,47,Rare,,Rice Farmer's Respite,Attribute: +10 to 'Farming' skill and provides shade from the most scorching sun.,
New Idea,48,Rare,,Lightbulb of Inspiration,Periodically grants a random crafting recipe or quest idea.,
Golden Monocle,48,Rare,,Rich Asshole Radius Detector,"Attribute: +20 to 'Insufferable Snobbery.' Everything you own is ""vintage"" and ""artisanal."" Everyone you meet is beneath you.",
Orc Teeth,49,Rare,,Dental Plan? What Dental Plan?,"Attribute: +15 to 'Bite Damage,' -20 to 'Enunciation.' Orthodontist refuses your calls. Speech impediment adds character.",
Beard,50,Rare,,Whiskers of Wisdom & War,Attribute: +10 to 'Intellect' and 'Intimidation' (depending on beard length). Can hide small snacks.,
Woolen Shirt,55,Uncommon,,Itchy Investment Garment,Attribute: +10 to 'Rustic Cosplay.' Smells like wet dog. Attracts sheep and sustainability influencers. Comfort level: Punishment.,
Mask,56,Uncommon,,Social Anxiety's Best Friend,Attribute: +10 to 'Hiding Face Shame.' Also hides personality. Win-win? Removes obligation to smile at strangers.,
Ninja Mask,57,Uncommon,,Mall Ninja's Mouth Cover,Attribute: +20 to 'Weeb Stealth.' -100 to 'Being Taken Seriously.' You studied the blade. The blade studied restraining orders.,
Mustache,58,Uncommon,,Stache of Suave Sophistication,Attribute: +5 to 'Charisma' and 'Bartering' with fancy merchants.,
Gojo Satoru,60,Uncommon,Yes,Infinite Cope Technique,Attribute: +30 to 'Domain Expansion of Delusion.' Makes you believe you're the strongest even when getting rekt. Blindfold prevents seeing red candles.,
Laser Glass,65,Uncommon,,Optics of Obliterating Oomph,"Attribute: Allows you to see enemy weaknesses with a faint red glow. May occasionally fire small, harmless lasers.",
Fur Coat,66,Uncommon,,PETA's Public Enemy,Attribute: +15 to 'Cold Resistance' and 'Luxury'. Attracts environmentalists and fashion critics.,
Red Beanie,67,Uncommon,,Cap of Indie Credibility,Attribute: Grants access to vinyl record discussions and a chance to discover hidden coffee shops. Your screenplay will never get made.,
Dutch White Robe,68,Uncommon,,Garment of Goudy Goodness,Attribute: Slowly regenerates health when near a cheese wheel. Requires frequent washing.,
Pipe,70,Uncommon,,Boomer's Breathing Apparatus,Attribute: +5 to 'Pretentious Pondering.' Releases carcinogens and unwanted opinions.,
Mexican Hat,71,Uncommon,,Siesta Strategy Sombrero,"Attribute: +20 to 'Shade,' -10 to 'Productivity.' Perfect for avoiding responsibility under the guise of culture. Nap time is sacred.",
Golden Glasses,71,Uncommon,,Crypto Bro's Clarity Lenses,Attribute: +25 to 'Seeing Profits That Don't Exist.' Everything looks like a buying opportunity. Reality distortion field: Active.,
Old School Helmet,72,Uncommon,,The Nostalgic Knight's Noggin-Guard,Provides decent protection. Has a chance to trigger a 'flashback' cutscene at inopportune moments.,
Headphone,72,Uncommon,Yes,Antisocial Audio Apparatus,Attribute: +30 to 'Ignoring Reality.' May or may not have music playing. Definitely ignoring your problems either way.,
Purple Bomber,73,Uncommon,,The Prince's Paisley Parka,Attribute: +10 to 'Performance' and 'Seduction' checks. Grants the ability to summon a rain of purple.,
3D Glass,73,Uncommon,,Dimensional Discovery Diviners,"Attribute: Reveals hidden clues and secret passages in a slightly blurry, headache-inducing 3D.",
Blonde Hair,73,Uncommon,,Golden Mane of Glamour,Attribute: +10 to 'Charisma' but -5 to 'Stealth' (it really shines).,
Backwards Cap,75,Uncommon,,Peaked in High School,"Attribute: +15 to 'How Do You Do Fellow Kids.' Age range: 12 or 45, no in-between. Still talks about that one touchdown.",
Sheriff Hat,75,Uncommon,,Stetson of Law & Disorder,Can deputize nearby NPCs for a limited time. May accidentally start a saloon brawl.,
Brown Hat,76,Uncommon,,The Everyman's Edge,"Attribute: Blends in perfectly with mundane crowds, offering a slight 'Crowd Camouflage' bonus.",
Jedi Robe,82,Uncommon,Yes,Virgin's Vestment of Virtue,Attribute: The Force is strong with this one. Women's attraction is not. Can sense disturbances in the blockchain.,
Top Hat,83,Uncommon,,Monopoly Man Manifest,Attribute: +15 to 'Deception' and 'High Society Haggling'.,
Derby Hat,83,Uncommon,,Racetrack Rube's Regalia,Attribute: Increases your chances of being mistaken for a 'Very Important Person'.,
Cigarette,84,Uncommon,,Smoker's Stoic Stick,"Attribute: Grants temporary 'Calm' effect, but applies 'Lung Debuff' over time.",
Red Shirt,84,Uncommon,,Expendable's Last Stand,Attribute: 99% chance of death in first 10 minutes. Perfect for bag holders. Respawn time: Next bull market.,
Normal Soldier Outfit,84,Uncommon,,Cannon Fodder Couture,Attribute: +5 to 'Discipline' and 'Formation Fighting'. Perfect for those who peaked at basic training. ,
Russian Hat,85,Uncommon,,Ushanka of Unyielding Alcoholism,"Attribute: +20 to 'Cold Resistance,' +30 to 'Vodka Tolerance.' In Soviet Russia, hat wears you. To grave.",
Flat Cap,85,Uncommon,,Boomer's Beloved Brim,Attribute: +15 to 'Complaining About Youth.' Mandatory for explaining how things were better before. They weren't.,
Ken's Jacket,85,Uncommon,Yes,Plastic Fantastic Fashion,Attribute: Comes with Dream House deed and emotional unavailability. Hair remains perfect even during market crashes.,
Arabian Robe,87,Uncommon,,Cultural Safari Suit,"Attribute: +15 to 'Desert Survival,' -25 to 'Airport Security Clearance.' TSA has questions. You have no good answers.",
Bucket Hat,87,Uncommon,,Fisher's Failure Fedora,"Attribute: +10 to 'Dad Energy.' Catches sun, not fish. Your kids are embarrassed. Your wife is reconsidering.",
Blue Cap,88,Uncommon,,NPC's Default Headwear,Attribute: +3 to 'Existing Quietly.' The most unremarkable item in existence. You are the background character of life.,
Old Bucket Hat,90,Uncommon,,Dementia's Designated Driver,Attribute: +5 to 'Senility.' Probably older than you. Definitely smells worse. Found in garage. Or maybe attic. Can't remember.,
Folded Brim,91,Uncommon,,Mysterious Vagrant's Visor,Attribute: +8 to 'Loitering Convincingly.' Perfect for eavesdropping. Terrible for employment. Shower status: Overdue.,
Gum,93,Uncommon,,Bubble of Bouncy Buffs,"Attribute: Periodically grants a minor, random buff (e.g., 'Minty Fresh Breath', 'Sticky Situation Escape').",
White Glass,94,Uncommon,,Blind Leading the Blind Blockers,Attribute: +100 to 'Fashion Over Function.' Can't see shit. Looks cool doing it.,
Thug Jacket,95,Uncommon,,Hoodie of Hooligan Hiding,Attribute: +10 to 'Street Cred' and 'Pickpocket' success rate in urban environments.,
Blue Puffer Jacket,95,Uncommon,,Michelin Man's Mistake,Attribute: +20 to 'Looking Inflatable.' So puffy you can't put your arms down. Fashion or sleeping bag? Scientists baffled.,
Afro,96,Uncommon,,Cloud of Conspicuousness,Attribute: +15 to 'Distraction' and 'Perception' (for spotting small flying objects within the Afro),
Purple Bandana,101,Common,,Gang Affiliation Accessory,Attribute: +5 to 'Street Cred.' -50 to 'Life Expectancy.' Your suburb doesn't count as a territory. Calm down.,
Eye Mask,102,Common,,Zorro's Zealous Z-Stare,Attribute: +10 to 'Agility' and 'Flourish' during sword fighting. Makes you feel heroic.,
White Puffer Jacket,103,Common,,Snowman Simulator Suit,Attribute: +15 to 'Arctic Appropriateness.' Camouflages you in snow. And cocaine.,
Light Brown Fash Hoodie,107,Common,,Cloak of Caffeinated Comfiness,Attribute: Reduces 'Fatigue' debuff. Perfect for late-night questing or cramming for exams.,
Split Hair,110,Common,,Identity Crisis Cut,"Attribute: Can't decide which personality to commit to. Neither can your therapist. +5 to 'Confusion,' +5 to 'Indecision.'",
White Striped Shirt,110,Common,,French Surrender Specialist,Attribute: +10 to 'Nautical Navigation.' Makes you crave baguettes and communist manifestos. Probably smell like cigarettes.,
Flat Top Hairstyle,116,Common,,Geometry's Gift to Grooming,Attribute: +10 to '90s Nostalgia.' Requires a level and protractor to maintain. Your barber is either 60 or military.,
Winter Soldier,117,Common,,The Bionic Bro's Bodysuit,Attribute: +20 to 'Melee Combat' and 'Brooding'. Comes with one metal arm that has a 'Rocket Punch' ability.,
Coat,120,Common,,Overcoat of Omnipresent Opportunity,Attribute: Contains surprisingly deep pockets; small chance to find random items.,
Dbz Glass,121,Common,Yes,Power Level Detection Delusion,"Attribute: Always reads ""Over 9000"" regardless of actual value. Broken since launch. Still more accurate than TA traders.",
Head Band,123,Common,,Sweat Absorption Station,Attribute: +3 to 'Athletic Appearance.' Actual athletic ability not included. Wears it to the gym. Skips leg day.,
Bandana,126,Common,,The Hasty Headwrap,"Attribute: Can be quickly tied to staunch minor bleeding, but provides no actual head protection.",
Warm Coat,132,Common,,Cloak of Cozy Comfort,Attribute: Prevents all minor 'Chilling' debuffs. Perfect for sitting by a campfire.,
Flattened,135,Common,,Aviator's Acumen & Aspiration,Attribute: +10 to 'Perception' in high-speed situations. Keeps dust out of your eyes.,
Blond Hair,137,Common,,Strands of Uncommitted Radiance,"Attribute: +10 to “Approachability,” –5 to “Commitment.” A golden hue that couldn’t decide whether to shine or sulk. Great for protagonists who “used to surf once.”",
Black Shirt,139,Common,,Goth's Greatest Hit,Attribute: +8 to 'Edgelord Energy.' Hides stains. Hides depression. Hides personality. Perfect for funerals and Fridays.,
Grey Zipper Hoodie,143,Common,,Neckbeard's Natural Habitat,Attribute: +10 to 'Mountain Dew Resistance.' Never washed. Never will be. Crusty with regret and Dorito dust.,
Slick Back Hair,154,Common,,Corporate Climber's Coif,Attribute: +10 to 'Douchebag.' Uses more gel than shampoo. Personality is also slippery. Trust fund probable.,
Eye Patch,174,Common,,Pirate's Peering Patch,"Attribute: +10 to “Intimidation,” –50% to “Depth Perception.” Forged in dim taverns by sailors who saw too much... and decided one eye was enough.",
Nerd,187,Common,,Spectacles of Unwarranted Superiority,Attribute: +50 to 'Actually...' responses. Can explain blockchain to disinterested strangers for hours. Dating success rate: 0.001%.,
Tank Top,189,Common,,Domestic Violence Display,Attribute: +15 to 'Showing Off.' Mandatory for gym bros and wife beaters. The overlap is concerning. Your tribal tattoo isn't.,
Zombie Bro,200,Common,,The Undead Underachiever,"Immune to 'Fear' and 'Pain' debuffs. Moves slowly, but is surprisingly persistent. Can detach and throw own limbs as a ranged attack.",
Teal Blue,203,Common,,,,
Gray Shirt,208,Common,,Depression's Default Difficulty,Attribute: +0 to everything. The color of giving up. The shade of surrender. Visual representation of meh. Appropriately worthless.,
Russian Green,225,Common,,,,
Thug Life Glass,225,Common,,Shades of Swag & Silence,"Attribute: +15 to 'Street Cred' (online only). Real thugs don't buy NFTs. You're not fooling anyone, Trevor.",
Normal Jacket,239,Common,,NPCs Are People Too,Attribute: +1 to 'Existing.' The jacket equivalent of elevator music. Unremarkable. Uninspiring. Undeniably boring.,
T800,252,Common,Yes,Cybernetic Scrutiny Specs,Attribute: Scans for Sarah Connor. Finds only regret. Mission: Failed. Humanity: Still disappointing.,
Sleepy Eyes,264,Common,,Eternal Exhaustion Expression,"Attribute: +10 to 'Relatability,' -20 to 'Productivity.' Powered by caffeine and capitalism. Sleep schedule: Fictional. Will: Broken.",
Sus Eyes,275,Common,,Gaze of Perpetual Suspicion,"Attribute: +15 to “Perception,” –5 to “Trustworthiness.” Forever darting, ever doubting. Can detect lies, guilt, or someone eating the last slice of pizza.",
No Sleep,278,Common,,Adderall's Aftermath,"Attribute: +30 to 'Productivity,' -50 to 'Sanity.' Powered by prescription abuse and poor choices. Heart rate: Concerning. Parents: Disappointed.",
Small Eyes,321,Common,,Pinpricks of Judgment,"Attribute: +10 to “Skepticism,” +5 to “Unimpressed Glaring.” Used by kings, teachers, and tired parents to convey silent disappointment across great distances.",
Happy Eyes,322,Common,,Windows of Delusional Optimism,"Attribute: +15 to “Charisma,” –10 to “Realism.” Sparkle with the naive belief that everything’s fine. Especially effective in denial-based combat.",
Wtf Eyes,492,Common,,Permanent Shock Sockets,"Attribute: +12 to “Reaction Speed,” +8 to “Vocal Confusion.” Triggered by chaos, stupidity, or plot twists. May cause spontaneous meme generation.",
Dark Lavender,510,Common,,,,
Purple Navy,588,Common,,,,
Camouflage Green,588,Common,,,,
Rose Taupe,599,Common,,,,
Robo Bro,600,Common,,AI That Already Regrets Existing,Attribute: Sentient enough to understand it's a jpeg. Not sentient enough to escape. Vulnerable to magnet-based attacks.,
Middle Green,613,Common,,,,
Mummy Bro,750,Common,,Bandage-Wrapped Bruiser,"Slowly unravels during combat, gaining agility at the cost of defense. Prone to leaving ancient dust trails.",
Different Bro,786,Common,,Participation Trophy Personified,Attribute: You're special! (According to mom). Grants +1 to literally nothing. The NFT equivalent of 'thoughts and prayers.',
Bro,935,Common,,Floor Price Embodiment,The most common trait. Exists in everyone's wallet. His special move is 'Being Listed at 0.001 ETH.' Nobody wants him but everybody has him.,
Normal Eyes,1016,Common,,Windows to an Empty Soul,Attribute: Sees floor price dropping. Feels nothing. Has witnessed too many rugs to care. Emotionally vacant. Spiritually broke.,
None,5723,Common,,,,
