Category,Unique Item List,Supply,Rarity Tier,IP Concern,IconName,Title,Description
Mouth Items,Old Wise Man Mustache,31,Rare,,oldwisemanmustache.png,Groomer of Questionable Wisdom,"Attribute: +20 to 'Unsolicited Life Advice.' Every sentence starts with ""Back in my day."" Probably shouldn't be near schools."
Headwear,Angel Ring,32,Rare,,halo.png,Halo of Holier-Than-Thou,Attribute: +15 to 'Divine' magic. Glows faintly in the presence of sinners and cheap ale. God sees your browser history.
Mouth Items,Big Mustache,33,Rare,,bigmustache.png,Porn Stache of Power,Attribute: +15 to 'Charm' against maidens and old ladies. Requires daily maintenance and questionable decisions. Popular in the 70s and at dive bars.
Mouth Items,Throwup,36,Rare,,vomit.png,Bodily Expression of Market Conditions,AOE damage to all nearby holders. Debuff intensifies during rug pulls and gas fee spikes. Cleanse requires touching grass.
Mouth Items,Vampire,37,Rare,,fangs.png,Liquidity Sucker,"Attribute: Drains 2% from every transaction. Allergic to sunlight, garlic, and sustainable tokenomics."
Headwear,Kermit Hat,37,Rare,Yes,kermithat.png,Amphibian of Existential Dread,Attribute: Grants ability to sip tea judgmentally while society collapses. Dark Kermit whispers bad financial advice.
Headwear,Army Helmet,37,Rare,,armyhelm.png,Bucket of Bravery,Attribute: +15 to 'Keyboard Warrior.' Perfect for those who served... in Modern Warfare 2. Actual deployment: Mom's basement.
Headwear,Cowboy Hat,39,Rare,,cowboyhat.png,Rancher's Righteous Rim,ttribute: +10 to 'Rope Trick' skill. Ideal for wrangling goblins or runaway horses.
Bro Type,Ape Bro,40,Rare,,apebro.png,"Diamond Hands, Smooth Brain",Attribute: +50 to 'HODL Strength.' -30 to 'Exit Strategy.' Communicates through chest beating and chart emojis. Lost house in 2022.
Mouth Items,Smile,40,Rare,,smile.png,Grin of Delusional Optimism,Attribute: +5 to 'Copium Inhalation.' Still smiling while portfolio is -90%. Either enlightened or lobotomized. Probably lobotomized.
Clothes,Roman Kind Robe,40,Rare,,romankindrobe.png,Emperor's Expensive Bedsheet,Attribute: +10 to 'Oratory' and 'Leadership' when addressing crowds. Requires careful draping.
Clothes,Golden Jacket,40,Rare,,goldenjacket.png,Blazer of Bling Brilliance,Attribute: +20 to 'Charisma' but attracts unwanted attention from envious bandits.
Mouth Items,Low Beard,42,Rare,,lowbeard.png,Chin-Strap of Casual Cool,"Attribute: A more approachable version of the beard, offering minor 'Friendly Demeanor' buffs."
Mouth Items,Oni Mask,43,Rare,,onimask.png,Demonic Dominance Disguise,"Attribute: +20 to 'Intimidation' against humanoids, but may scare away friendly villagers."
Eyewear,Vision Pro,45,Rare,Yes,visionpro.png,"$3,500 Mistake Manifestor",Attribute: Perfect for watching your portfolio crash in 4K spatial computing. May occasionally display pop-up ads for potions.
Clothes,Pepe Shirt,45,Rare,Yes,pepeshirt.png,Meme Economy Casualties Uniform,Attribute: Periodically causes nearby NPCs to emit a 'kek' sound. Wearing this either makes you Based™ or unemployable. No middle ground exists.
Headwear,Chinese Hat,47,Rare,,chinesehat.png,Rice Farmer's Respite,Attribute: +10 to 'Farming' skill and provides shade from the most scorching sun.
Headwear,New Idea,48,Rare,,newidea.png,Lightbulb of Inspiration,Periodically grants a random crafting recipe or quest idea.
Eyewear,Golden Monocle,48,Rare,,goldenmonocle.png,Rich Asshole Radius Detector,"Attribute: +20 to 'Insufferable Snobbery.' Everything you own is ""vintage"" and ""artisanal."" Everyone you meet is beneath you."
Mouth Items,Orc Teeth,49,Rare,,orcteeth.png,Dental Plan? What Dental Plan?,"Attribute: +15 to 'Bite Damage,' -20 to 'Enunciation.' Orthodontist refuses your calls. Speech impediment adds character."
Mouth Items,Beard,50,Rare,,beard.png,Whiskers of Wisdom & War,Attribute: +10 to 'Intellect' and 'Intimidation' (depending on beard length). Can hide small snacks.
Clothes,Woolen Shirt,55,Uncommon,,woolenshirt.png,Itchy Investment Garment,Attribute: +10 to 'Rustic Cosplay.' Smells like wet dog. Attracts sheep and sustainability influencers. Comfort level: Punishment.
Mouth Items,Mask,56,Uncommon,,mask.png,Social Anxiety's Best Friend,Attribute: +10 to 'Hiding Face Shame.' Also hides personality. Win-win? Removes obligation to smile at strangers.
Mouth Items,Ninja Mask,57,Uncommon,,ninjamask.png,Mall Ninja's Mouth Cover,Attribute: +20 to 'Weeb Stealth.' -100 to 'Being Taken Seriously.' You studied the blade. The blade studied restraining orders.
Mouth Items,Mustache,58,Uncommon,,mustache.png,Stache of Suave Sophistication,Attribute: +5 to 'Charisma' and 'Bartering' with fancy merchants.
Eyewear,Gojo Satoru,60,Uncommon,Yes,gojosatoru.png,Infinite Cope Technique,Attribute: +30 to 'Domain Expansion of Delusion.' Makes you believe you're the strongest even when getting rekt. Blindfold prevents seeing red candles.
Eyewear,Laser Glass,65,Uncommon,,laserglass.png,Optics of Obliterating Oomph,"Attribute: Allows you to see enemy weaknesses with a faint red glow. May occasionally fire small, harmless lasers."
Clothes,Fur Coat,66,Uncommon,,furcoat.png,PETA's Public Enemy,Attribute: +15 to 'Cold Resistance' and 'Luxury'. Attracts environmentalists and fashion critics.
Headwear,Red Beanie,67,Uncommon,,redbeanie.png,Cap of Indie Credibility,Attribute: Grants access to vinyl record discussions and a chance to discover hidden coffee shops. Your screenplay will never get made.
Clothes,Dutch White Robe,68,Uncommon,,dutchwhiterobe.png,Garment of Goudy Goodness,Attribute: Slowly regenerates health when near a cheese wheel. Requires frequent washing.
Mouth Items,Pipe,70,Uncommon,,pipe.png,Boomer's Breathing Apparatus,Attribute: +5 to 'Pretentious Pondering.' Releases carcinogens and unwanted opinions.
Headwear,Mexican Hat,71,Uncommon,,mexicanhat.png,Siesta Strategy Sombrero,"Attribute: +20 to 'Shade,' -10 to 'Productivity.' Perfect for avoiding responsibility under the guise of culture. Nap time is sacred."
Eyewear,Golden Glasses,71,Uncommon,,goldenglasses.png,Crypto Bro's Clarity Lenses,Attribute: +25 to 'Seeing Profits That Don't Exist.' Everything looks like a buying opportunity. Reality distortion field: Active.
Headwear,Old School Helmet,72,Uncommon,,oldschoolhelmet.png,The Nostalgic Knight's Noggin-Guard,Provides decent protection. Has a chance to trigger a 'flashback' cutscene at inopportune moments.
Headwear,Headphone,72,Uncommon,Yes,headphones.png,Antisocial Audio Apparatus,Attribute: +30 to 'Ignoring Reality.' May or may not have music playing. Definitely ignoring your problems either way.
Clothes,Purple Bomber,73,Uncommon,,purplebomber.png,The Prince's Paisley Parka,Attribute: +10 to 'Performance' and 'Seduction' checks. Grants the ability to summon a rain of purple.
Eyewear,3D Glass,73,Uncommon,,3dglass.png,Dimensional Discovery Diviners,"Attribute: Reveals hidden clues and secret passages in a slightly blurry, headache-inducing 3D."
Headwear,Blonde Hair,73,Uncommon,,blondehair.png,Golden Mane of Glamour,Attribute: +10 to 'Charisma' but -5 to 'Stealth' (it really shines).
Headwear,Backwards Cap,75,Uncommon,,backwardshat.png,Peaked in High School,"Attribute: +15 to 'How Do You Do Fellow Kids.' Age range: 12 or 45, no in-between. Still talks about that one touchdown."
Headwear,Sheriff Hat,75,Uncommon,,sheriffhat.png,Stetson of Law & Disorder,Can deputize nearby NPCs for a limited time. May accidentally start a saloon brawl.
Headwear,Brown Hat,76,Uncommon,,brownhat.png,The Everyman's Edge,"Attribute: Blends in perfectly with mundane crowds, offering a slight 'Crowd Camouflage' bonus."
Clothes,Jedi Robe,82,Uncommon,Yes,jedirobe.png,Virgin's Vestment of Virtue,Attribute: The Force is strong with this one. Women's attraction is not. Can sense disturbances in the blockchain.
Headwear,Top Hat,83,Uncommon,,tophat.png,Monopoly Man Manifest,Attribute: +15 to 'Deception' and 'High Society Haggling'.
Headwear,Derby Hat,83,Uncommon,,derbyhat.png,Racetrack Rube's Regalia,Attribute: Increases your chances of being mistaken for a 'Very Important Person'.
Mouth Items,Cigarette,84,Uncommon,,smoking.png,Smoker's Stoic Stick,"Attribute: Grants temporary 'Calm' effect, but applies 'Lung Debuff' over time."
Clothes,Red Shirt,84,Uncommon,,redshirt.png,Expendable's Last Stand,Attribute: 99% chance of death in first 10 minutes. Perfect for bag holders. Respawn time: Next bull market.
Clothes,Normal Soldier Outfit,84,Uncommon,,normalsoldier.png,Cannon Fodder Couture,Attribute: +5 to 'Discipline' and 'Formation Fighting'. Perfect for those who peaked at basic training. 
Headwear,Russian Hat,85,Uncommon,,russianhat.png,Ushanka of Unyielding Alcoholism,"Attribute: +20 to 'Cold Resistance,' +30 to 'Vodka Tolerance.' In Soviet Russia, hat wears you. To grave."
Headwear,Flat Cap,85,Uncommon,,flatcap.png,Boomer's Beloved Brim,Attribute: +15 to 'Complaining About Youth.' Mandatory for explaining how things were better before. They weren't.
Clothes,Ken's Jacket,85,Uncommon,Yes,kensjacket.png,Plastic Fantastic Fashion,Attribute: Comes with Dream House deed and emotional unavailability. Hair remains perfect even during market crashes.
Headwear,Arabian Robe,87,Uncommon,,arabianrobe.png,Cultural Safari Suit,"Attribute: +15 to 'Desert Survival,' -25 to 'Airport Security Clearance.' TSA has questions. You have no good answers."
Headwear,Bucket Hat,87,Uncommon,,buckethat.png,Fisher's Failure Fedora,"Attribute: +10 to 'Dad Energy.' Catches sun, not fish. Your kids are embarrassed. Your wife is reconsidering."
Headwear,Blue Cap,88,Uncommon,,bluecap.png,NPC's Default Headwear,Attribute: +3 to 'Existing Quietly.' The most unremarkable item in existence. You are the background character of life.
Headwear,Old Bucket Hat,90,Uncommon,,oldbuckethat.png,Dementia's Designated Driver,Attribute: +5 to 'Senility.' Probably older than you. Definitely smells worse. Found in garage. Or maybe attic. Can't remember.
Headwear,Folded Brim,91,Uncommon,,foldedbrim.png,Mysterious Vagrant's Visor,Attribute: +8 to 'Loitering Convincingly.' Perfect for eavesdropping. Terrible for employment. Shower status: Overdue.
Mouth Items,Gum,93,Uncommon,,gum.png,Bubble of Bouncy Buffs,"Attribute: Periodically grants a minor, random buff (e.g., 'Minty Fresh Breath', 'Sticky Situation Escape')."
Eyewear,White Glass,94,Uncommon,,whiteglasses.png,Blind Leading the Blind Blockers,Attribute: +100 to 'Fashion Over Function.' Can't see shit. Looks cool doing it.
Clothes,Thug Jacket,95,Uncommon,,thugjacket.png,Hoodie of Hooligan Hiding,Attribute: +10 to 'Street Cred' and 'Pickpocket' success rate in urban environments.
Clothes,Blue Puffer Jacket,95,Uncommon,,bluepuffer.png,Michelin Man's Mistake,Attribute: +20 to 'Looking Inflatable.' So puffy you can't put your arms down. Fashion or sleeping bag? Scientists baffled.
Headwear,Afro,96,Uncommon,,afro.png,Cloud of Conspicuousness,Attribute: +15 to 'Distraction' and 'Perception' (for spotting small flying objects within the Afro)
Headwear,Purple Bandana,101,Common,,purplebandana.png,Gang Affiliation Accessory,Attribute: +5 to 'Street Cred.' -50 to 'Life Expectancy.' Your suburb doesn't count as a territory. Calm down.
Eyewear,Eye Mask,102,Common,,eyemask.png,Zorro's Zealous Z-Stare,Attribute: +10 to 'Agility' and 'Flourish' during sword fighting. Makes you feel heroic.
Clothes,White Puffer Jacket,103,Common,,whitepuffer.png,Snowman Simulator Suit,Attribute: +15 to 'Arctic Appropriateness.' Camouflages you in snow. And cocaine.
Clothes,Light Brown Fash Hoodie,107,Common,,lightbrownfashion.png,Cloak of Caffeinated Comfiness,Attribute: Reduces 'Fatigue' debuff. Perfect for late-night questing or cramming for exams.
Headwear,Split Hair,110,Common,,splithair.png,Identity Crisis Cut,"Attribute: Can't decide which personality to commit to. Neither can your therapist. +5 to 'Confusion,' +5 to 'Indecision.'"
Clothes,White Striped Shirt,110,Common,,whitestripedshirt.png,French Surrender Specialist,Attribute: +10 to 'Nautical Navigation.' Makes you crave baguettes and communist manifestos. Probably smell like cigarettes.
Headwear,Flat Top Hairstyle,116,Common,,flattophairstyle.png,Geometry's Gift to Grooming,Attribute: +10 to '90s Nostalgia.' Requires a level and protractor to maintain. Your barber is either 60 or military.
Clothes,Winter Soldier,117,Common,,wintersoldier.png,The Bionic Bro's Bodysuit,Attribute: +20 to 'Melee Combat' and 'Brooding'. Comes with one metal arm that has a 'Rocket Punch' ability.
Clothes,Coat,120,Common,,coat.png,Overcoat of Omnipresent Opportunity,Attribute: Contains surprisingly deep pockets; small chance to find random items.
Eyewear,Dbz Glass,121,Common,Yes,dbzglass.png,Power Level Detection Delusion,"Attribute: Always reads ""Over 9000"" regardless of actual value. Broken since launch. Still more accurate than TA traders."
Headwear,Head Band,123,Common,,headband.png,Sweat Absorption Station,Attribute: +3 to 'Athletic Appearance.' Actual athletic ability not included. Wears it to the gym. Skips leg day.
Headwear,Bandana,126,Common,,redbandana.png,The Hasty Headwrap,"Attribute: Can be quickly tied to staunch minor bleeding, but provides no actual head protection."
Clothes,Warm Coat,132,Common,,warmcoat.png,Cloak of Cozy Comfort,Attribute: Prevents all minor 'Chilling' debuffs. Perfect for sitting by a campfire.
Eyewear,Flattened,135,Common,,goggles.png,Aviator's Acumen & Aspiration,Attribute: +10 to 'Perception' in high-speed situations. Keeps dust out of your eyes.
Headwear,Blond Hair,137,Common,,blondhair.png,Strands of Uncommitted Radiance,"Attribute: +10 to “Approachability,” –5 to “Commitment.” A golden hue that couldn’t decide whether to shine or sulk. Great for protagonists who “used to surf once.”"
Clothes,Black Shirt,139,Common,,blackshirt.png,Goth's Greatest Hit,Attribute: +8 to 'Edgelord Energy.' Hides stains. Hides depression. Hides personality. Perfect for funerals and Fridays.
Clothes,Grey Zipper Hoodie,143,Common,,grayzipperhoodie.png,Neckbeard's Natural Habitat,Attribute: +10 to 'Mountain Dew Resistance.' Never washed. Never will be. Crusty with regret and Dorito dust.
Headwear,Slick Back Hair,154,Common,,slickbackhair.png,Corporate Climber's Coif,Attribute: +10 to 'Douchebag.' Uses more gel than shampoo. Personality is also slippery. Trust fund probable.
Eyewear,Eye Patch,174,Common,,eyepatch.png,Pirate's Peering Patch,"Attribute: +10 to “Intimidation,” –50% to “Depth Perception.” Forged in dim taverns by sailors who saw too much... and decided one eye was enough."
Eyewear,Nerd,187,Common,,nerdglasses.png,Spectacles of Unwarranted Superiority,Attribute: +50 to 'Actually...' responses. Can explain blockchain to disinterested strangers for hours. Dating success rate: 0.001%.
Clothes,Tank Top,189,Common,,tanktop.png,Domestic Violence Display,Attribute: +15 to 'Showing Off.' Mandatory for gym bros and wife beaters. The overlap is concerning. Your tribal tattoo isn't.
Bro Type,Zombie Bro,200,Common,,zombiebro.png,The Undead Underachiever,"Immune to 'Fear' and 'Pain' debuffs. Moves slowly, but is surprisingly persistent. Can detach and throw own limbs as a ranged attack."
Background,Teal Blue,203,Common,,,,
Clothes,Gray Shirt,208,Common,,grayshirt.png,Depression's Default Difficulty,Attribute: +0 to everything. The color of giving up. The shade of surrender. Visual representation of meh. Appropriately worthless.
Background,Russian Green,225,Common,,,,
Eyewear,Thug Life Glass,225,Common,,thuglifeglasses.png,Shades of Swag & Silence,"Attribute: +15 to 'Street Cred' (online only). Real thugs don't buy NFTs. You're not fooling anyone, Trevor."
Clothes,Normal Jacket,239,Common,,normaljacket.png,NPCs Are People Too,Attribute: +1 to 'Existing.' The jacket equivalent of elevator music. Unremarkable. Uninspiring. Undeniably boring.
Eyes,T800,252,Common,Yes,t800.png,Cybernetic Scrutiny Specs,Attribute: Scans for Sarah Connor. Finds only regret. Mission: Failed. Humanity: Still disappointing.
Eyes,Sleepy Eyes,264,Common,,sleepyeyes.png,Eternal Exhaustion Expression,"Attribute: +10 to 'Relatability,' -20 to 'Productivity.' Powered by caffeine and capitalism. Sleep schedule: Fictional. Will: Broken."
Eyes,Sus Eyes,275,Common,,suseyes.png,Gaze of Perpetual Suspicion,"Attribute: +15 to “Perception,” –5 to “Trustworthiness.” Forever darting, ever doubting. Can detect lies, guilt, or someone eating the last slice of pizza."
Eyes,No Sleep,278,Common,,nosleep.png,Adderall's Aftermath,"Attribute: +30 to 'Productivity,' -50 to 'Sanity.' Powered by prescription abuse and poor choices. Heart rate: Concerning. Parents: Disappointed."
Eyes,Small Eyes,321,Common,,smalleyes.png,Pinpricks of Judgment,"Attribute: +10 to “Skepticism,” +5 to “Unimpressed Glaring.” Used by kings, teachers, and tired parents to convey silent disappointment across great distances."
Eyes,Happy Eyes,322,Common,,happyeyes.png,Windows of Delusional Optimism,"Attribute: +15 to “Charisma,” –10 to “Realism.” Sparkle with the naive belief that everything’s fine. Especially effective in denial-based combat."
Eyes,Wtf Eyes,492,Common,,wtfeyes.png,Permanent Shock Sockets,"Attribute: +12 to “Reaction Speed,” +8 to “Vocal Confusion.” Triggered by chaos, stupidity, or plot twists. May cause spontaneous meme generation."
Background,Dark Lavender,510,Common,,,,
Background,Purple Navy,588,Common,,,,
Background,Camouflage Green,588,Common,,,,
Background,Rose Taupe,599,Common,,,,
Bro Type,Robo Bro,600,Common,,robobro.png,AI That Already Regrets Existing,Attribute: Sentient enough to understand it's a jpeg. Not sentient enough to escape. Vulnerable to magnet-based attacks.
Background,Middle Green,613,Common,,,,
Bro Type,Mummy Bro,750,Common,,mummybro.png,Bandage-Wrapped Bruiser,"Slowly unravels during combat, gaining agility at the cost of defense. Prone to leaving ancient dust trails."
Bro Type,Different Bro,786,Common,,differentbro.png,Participation Trophy Personified,Attribute: You're special! (According to mom). Grants +1 to literally nothing. The NFT equivalent of 'thoughts and prayers.'
Bro Type,Bro,935,Common,,bro.png,Floor Price Embodiment,The most common trait. Exists in everyone's wallet. His special move is 'Being Listed at 0.001 ETH.' Nobody wants him but everybody has him.
Eyes,Normal Eyes,1016,Common,,normaleyes.png,Windows to an Empty Soul,Attribute: Sees floor price dropping. Feels nothing. Has witnessed too many rugs to care. Emotionally vacant. Spiritually broke.
Clothes,None,723,Common,,,The Unencumbered,Attribute: Agility +15 and 'Swim Speed' +20 (no water resistance). -200 'Armor' and -50 'Social Acceptance.' You have chosen to face the world as you entered it: screaming and with zero defense. Aggros all city guards.
Headwear,None,565,Common,,,The Cranial Nudist,Attribute: All critical hits received are automatically headshots. Grants 'Unobstructed Thinking' but has a 10% chance to attract a Pigeon.
Mouth Items,None,2510,Common,,,The Unfiltered Yap,Attribute: +10 'Noise Pollution'. A basic model pie-hole for calories and unfiltered opinions. Passive ability: 'Accidental Insult' (10% chance on all dialogue).
Eyewear,None,1925,Common,,,The Unshielded Gaze,"Attribute: Just two delicate spheres, completely exposed. +20% vulnerability to awkward eye contact and sand."
